Date,Close,Offset,Code
20090601,19.907143,,AAPL
20090602,19.927143,0.001004665,AAPL
20090603,20.135714,0.010466679,AAPL
20090604,20.534286,0.019794282,AAPL
20090605,20.667143,0.006470008,AAPL
20090608,20.549999,-0.005668127,AAPL
20090609,20.388571,-0.007855378,AAPL
20090610,20.035715,-0.017306559,AAPL
20090611,19.992857,-0.00213908,AAPL
20090612,19.567142,-0.021293355,AAPL
20090615,19.441429,-0.006424699,AAPL
20090616,19.478571,0.001910456,AAPL
20090617,19.368572,-0.00564718,AAPL
20090618,19.411428,0.002212657,AAPL
20090619,19.925714,0.026493981,AAPL
20090622,19.624287,-0.015127538,AAPL
20090623,19.144285,-0.024459589,AAPL
20090624,19.459999,0.016491292,AAPL
20090625,19.98,0.026721533,AAPL
20090626,20.348572,0.018447047,AAPL
20090629,20.281429,-0.003299642,AAPL
20090630,20.347143,0.003240107,AAPL
20090701,20.404285,0.002808355,AAPL
20090702,20.002857,-0.019673711,AAPL
20090706,19.801428,-0.010070011,AAPL
20090707,19.342857,-0.023158481,AAPL
20090708,19.602858,0.013441706,AAPL
20090709,19.48,-0.006267351,AAPL
20090710,19.788572,0.015840452,AAPL
20090713,20.334286,0.02757723,AAPL
20090714,20.324286,-0.00049178,AAPL
20090715,20.982857,0.032403156,AAPL
20090716,21.074286,0.004357319,AAPL
20090717,21.678572,0.028674091,AAPL
20090720,21.844286,0.007644138,AAPL
20090721,21.644285,-0.009155758,AAPL
20090722,22.391428,0.034519181,AAPL
20090723,22.545713,0.00689036,AAPL
20090724,22.855715,0.013749931,AAPL
20090727,22.871429,0.00068753,AAPL
20090728,22.857143,-0.000624622,AAPL
20090729,22.861429,0.000187512,AAPL
20090730,23.255714,0.017246735,AAPL
20090731,23.341429,0.003685761,AAPL
20090803,23.775715,0.018605802,AAPL
20090804,23.65,-0.005287538,AAPL
20090805,23.587143,-0.002657801,AAPL
20090806,23.415714,-0.0072679,AAPL
20090807,23.644285,0.009761436,AAPL
20090810,23.531429,-0.004773077,AAPL
20090811,23.261429,-0.011474016,AAPL
20090812,23.615715,0.015230621,AAPL
20090813,24.059999,0.018813066,AAPL
20090814,23.825714,-0.009737532,AAPL
20090817,22.798571,-0.043110691,AAPL
20090818,23.428572,0.027633355,AAPL
20090819,23.514286,0.003658524,AAPL
20090820,23.761429,0.010510334,AAPL
20090821,24.174286,0.017375091,AAPL
20090824,24.151428,-0.00094555,AAPL
20090825,24.200001,0.002011185,AAPL
20090826,23.915714,-0.011747396,AAPL
20090827,24.207144,0.012185712,AAPL
20090828,24.292856,0.003540773,AAPL
20090831,24.030001,-0.010820259,AAPL
20090901,23.614286,-0.017299833,AAPL
20090902,23.597143,-0.000725959,AAPL
20090903,23.792856,0.008293928,AAPL
20090904,24.33,0.022575852,AAPL
20090908,24.704287,0.015383765,AAPL
20090909,24.448572,-0.010351037,AAPL
20090910,24.651428,0.008297254,AAPL
20090911,24.594286,-0.002318,AAPL
20090914,24.817142,0.009061292,AAPL
20090915,25.022858,0.00828927,AAPL
20090916,25.981428,0.038307774,AAPL
20090917,26.364286,0.014735834,AAPL
20090918,26.431429,0.002546741,AAPL
20090921,26.288572,-0.005404816,AAPL
20090922,26.354286,0.002499717,AAPL
20090923,26.5,0.005529044,AAPL
20090924,26.26,-0.009056604,AAPL
20090925,26.052856,-0.007888195,AAPL
20090928,26.592857,0.020727133,AAPL
20090929,26.482857,-0.004136449,AAPL
20090930,26.478571,-0.000161841,AAPL
20091001,25.837143,-0.024224419,AAPL
20091002,26.414286,0.022337725,AAPL
20091005,26.574286,0.006057328,AAPL
20091006,27.144285,0.021449269,AAPL
20091007,27.178572,0.001263139,AAPL
20091008,27.038572,-0.005151117,AAPL
20091009,27.209999,0.006340091,AAPL
20091012,27.258572,0.001785116,AAPL
20091013,27.145714,-0.004140276,AAPL
20091014,27.327143,0.006683523,AAPL
20091015,27.222857,-0.003816206,AAPL
20091016,26.864286,-0.013171689,AAPL
20091019,27.122858,0.009625121,AAPL
20091020,28.394285,0.046876587,AAPL
20091021,29.274286,0.030992187,AAPL
20091022,29.314285,0.001366353,AAPL
20091023,29.134285,-0.006140351,AAPL
20091026,28.925714,-0.007158954,AAPL
20091027,28.195715,-0.025237026,AAPL
20091028,27.485714,-0.025181167,AAPL
20091029,28.049999,0.02053012,AAPL
20091030,26.928572,-0.039979574,AAPL
